,Volcano,SampleID,sample_RMSE_to_regression
167,Lautaro,Laut-GEM10,0.3531680920170311
168,Lautaro,Laut-VER7,0.33947449291362486
169,Lautaro,Laut-VER55,0.6730583008794278
170,Llaima,8LM-339_A1,0.017875678989394683
171,Llaima,8LM-339_A11,0.0814783916084243
172,Llaima,8LM-339_A11m,0.16830321427467376
173,Llaima,8LM-339_A15,0.10560136714673896
174,Llaima,8LM-339_A17,0.1459200675672898
175,Llaima,8LM-339_A19,0.25539174324542635
176,Llaima,8LM-339_A19m,0.1956459091465773
177,Llaima,8LM-339_A1b,0.10006740008620718
178,Llaima,8LM-339_A1m,0.1526010273256707
179,Llaima,8LM-339_A20,0.1063493899301794
180,Llaima,8LM-339_A20m,0.1552158852554859
181,Llaima,8LM-339_A21,0.22634031378304453
182,Llaima,8LM-339_A22,0.04044079155888092
183,Llaima,8LM-339_A22m,0.06910799235717613
184,Llaima,8LM-339_A26,0.10358669312436353
185,Llaima,8LM-339_A27,0.021362328109366335
186,Llaima,8LM-339_A29,0.15074978343839873
187,Llaima,8LM-339_A29b,0.11518489271045096
188,Llaima,8LM-339_A32,0.06909060125460276
189,Llaima,8LM-339_A32m,0.4207453801248704
190,Llaima,8LM-339_A32m2,0.07629020252976071
191,Llaima,8LM-339_A34,0.09573105134552895
192,Llaima,8LM-339_A34m,0.18136653191817598
193,Llaima,8LM-339_A34m2,0.13674349479901826
194,Llaima,8LM-339_A41,0.1075800325310412
195,Llaima,8LM-339_A41b,0.040857117930242604
196,Llaima,8LM-339_A41c,0.061257617674042475
197,Llaima,8LM-339_A43,0.1254917610524372
198,Llaima,8LM-339_A43m,0.013763719365008087
199,Llaima,8LM-339_A43m2,0.058578436261291555
200,Llaima,8LM-339_A44,0.08618483467444726
201,Llaima,8LM-339_A44b,0.06971123461879647
202,Llaima,8LM-339_A7m,0.08908709132149484
203,Llaima,8LM-339_A9,0.13479414635268894
204,Llaima,8LM-339_A9b,0.047724903201143754
205,Llaima,8LM-339_A9c,0.15768071455343158
206,Llaima,8LM-339_B10,0.0019519419568584384
207,Llaima,8LM-339_B10_2,0.06154838031824206
208,Llaima,8LM-339_B10_3,0.034796205437465644
209,Llaima,8LM-339_B10_4,0.017681771661448464
210,Llaima,8LM-339_B10b,0.07985441778997704
211,Llaima,8LM-339_B10m,0.06213543888842399
212,Llaima,8LM-339_B17,0.11238810484215644
213,Llaima,8LM-339_B19,0.13056801664096918
214,Llaima,8LM-339_B19m1,0.03537054642415316
215,Llaima,8LM-339_B19m2,0.29209310321640203
216,Llaima,8LM-339_B2,0.02270190859620569
